,Location,Number of rooms,Floor number,Area of apartment,Price,Currency,Date,Condition,Document status
8297,Elmlər Akademiyası m.,3 otaqlı,15/17 mərtəbə,155 m²,360 000,AZN,2024-11-13,Təmirli,Çıxarış var
8298,Xalqlar Dostluğu m.,4 otaqlı,19/20 mərtəbə,125 m²,250 000,AZN,2024-10-23,Təmirli,Müqavilə
8299,20 Yanvar m.,4 otaqlı,15/22 mərtəbə,178 m²,250 000,AZN,2024-10-06,Təmirli,Müqavilə
8300,Bakıxanov q.,4 otaqlı,7/16 mərtəbə,134 m²,330 000,AZN,2024-01-25,Təmirli,Çıxarış var
8301,İnşaatçılar m.,3 otaqlı,10/12 mərtəbə,113 m²,195 000,AZN,2024-11-17,Təmirli,Çıxarış var
8302,Bakıxanov q.,3 otaqlı,6/18 mərtəbə,75 m²,138 000,AZN,2024-10-16,Təmirli,Çıxarış var
8303,9-cu mikrorayon q.,2 otaqlı,3/18 mərtəbə,55 m²,135 000,AZN,2024-09-17,Təmirli,Çıxarış var
8304,Nəsimi m.,3 otaqlı,2/16 mərtəbə,80 m²,185 000,AZN,2024-11-17,Təmirli,Çıxarış var
8305,Yasamal r.,2 otaqlı,5/9 mərtəbə,65 m²,165 000,AZN,2024-11-17,Təmirli,Çıxarış var
8306,Xalqlar Dostluğu m.,3 otaqlı,15/19 mərtəbə,95 m²,200 000,AZN,2024-11-17,Təmirli,Çıxarış var
8307,Əhmədli q.,3 otaqlı,8/13 mərtəbə,132 m²,206 000,AZN,2024-06-28,Təmirli,Çıxarış var
8308,İnşaatçılar m.,3 otaqlı,6/12 mərtəbə,112 m²,250 000,AZN,2024-11-17,Təmirli,Çıxarış var
8309,Sabunçu r.,3 otaqlı,3/8 mərtəbə,84 m²,170 000,AZN,2024-11-13,Təmirli,Müqavilə
8310,İnşaatçılar m.,4 otaqlı,9/10 mərtəbə,120 m²,263 000,AZN,2024-11-15,Təmirli,Çıxarış var
8311,Dərnəgül m.,3 otaqlı,3/14 mərtəbə,120 m²,279 000,AZN,2024-11-17,Təmirli,Çıxarış var
8312,Qara Qarayev m.,4 otaqlı,8/17 mərtəbə,160 m²,359 000,AZN,2024-10-27,Təmirli,Müqavilə
8313,Elmlər Akademiyası m.,3 otaqlı,11/18 mərtəbə,105.4 m²,184 000,AZN,2024-07-28,Təmirsiz,Müqavilə
8314,Nəriman Nərimanov m.,3 otaqlı,7/19 mərtəbə,110 m²,250 000,AZN,2024-10-30,Təmirli,Çıxarış var
8315,Bakıxanov q.,4 otaqlı,4/8 mərtəbə,142.5 m²,264 000,AZN,2024-10-25,Təmirsiz,Müqavilə
8316,Nəriman Nərimanov m.,2 otaqlı,10/10 mərtəbə,73 m²,245 000,AZN,2024-11-22,Təmirli,Çıxarış var
8317,Ağ şəhər q.,5 otaqlı,14/20 mərtəbə,220 m²,860 000,AZN,2024-11-01,Təmirsiz,Çıxarış var
8318,Əhmədli q.,3 otaqlı,5/20 mərtəbə,110 m²,255 000,AZN,2024-11-07,Təmirli,Çıxarış var
8319,Xətai r.,3 otaqlı,17/22 mərtəbə,90 m²,267 000,AZN,2024-11-19,Təmirli,Çıxarış var
8320,Şah İsmayıl Xətai m.,3 otaqlı,6/16 mərtəbə,113 m²,300 000,AZN,2024-10-15,Təmirli,Çıxarış var
8321,Nəsimi r.,3 otaqlı,20/21 mərtəbə,90 m²,249 000,AZN,2024-11-04,Təmirli,Müqavilə
8322,Nəriman Nərimanov m.,2 otaqlı,3/4 mərtəbə,80 m²,180 000,AZN,2024-11-13,Təmirli,Çıxarış var
8323,Nərimanov r.,3 otaqlı,5/6 mərtəbə,105 m²,272 000,AZN,2024-10-13,Təmirli,Çıxarış var
8324,Xətai r.,2 otaqlı,14/16 mərtəbə,60 m²,138 000,AZN,2024-11-17,Təmirli,Müqavilə
8325,Gənclik m.,3 otaqlı,5/15 mərtəbə,160 m²,345 000,AZN,2024-10-25,Təmirli,Çıxarış var
8326,Nəriman Nərimanov m.,4 otaqlı,15/20 mərtəbə,172 m²,335 000,AZN,2024-10-30,Təmirli,Çıxarış var
8327,Nərimanov r.,2 otaqlı,10/18 mərtəbə,57 m²,204 000,AZN,2024-11-04,Təmirli,Çıxarış var
8328,Nərimanov r.,3 otaqlı,9/18 mərtəbə,83 m²,235 000,AZN,2024-11-13,Təmirli,Çıxarış var
8329,Sahil m.,4 otaqlı,7/16 mərtəbə,145 m²,410 000,AZN,2024-10-31,Təmirli,Çıxarış var
8330,İnşaatçılar m.,3 otaqlı,7/10 mərtəbə,130 m²,285 000,AZN,2024-11-02,Təmirli,Çıxarış var
8331,Xətai r.,3 otaqlı,6/16 mərtəbə,105 m²,197 000,AZN,2024-09-12,Təmirli,Müqavilə
8332,Nəriman Nərimanov m.,4 otaqlı,6/19 mərtəbə,136 m²,285 000,AZN,2024-11-13,Təmirli,Çıxarış var
8333,Şah İsmayıl Xətai m.,3 otaqlı,5/24 mərtəbə,110 m²,285 000,AZN,2024-11-19,Təmirli,Çıxarış var
8334,Şah İsmayıl Xətai m.,3 otaqlı,5/14 mərtəbə,143 m²,293 000,AZN,2024-10-17,Təmirsiz,Müqavilə
8335,Səbail r.,3 otaqlı,3/5 mərtəbə,110 m²,279 000,AZN,2024-10-17,Təmirli,Çıxarış var
8336,Şah İsmayıl Xətai m.,4 otaqlı,6/13 mərtəbə,180 m²,539 000,AZN,2024-09-10,Təmirli,Müqavilə
8337,Nəriman Nərimanov m.,2 otaqlı,2/16 mərtəbə,85 m²,200 000,AZN,2024-08-17,Təmirli,Çıxarış var
8338,İnşaatçılar m.,3 otaqlı,16/18 mərtəbə,128 m²,245 000,AZN,2024-09-25,Təmirli,Çıxarış var
8339,20 Yanvar m.,3 otaqlı,3/22 mərtəbə,125 m²,220 000,AZN,2023-04-29,Təmirli,Müqavilə
8340,Gənclik m.,3 otaqlı,14/20 mərtəbə,95 m²,220 000,AZN,2024-11-14,Təmirli,Çıxarış var
8341,Yasamal r.,2 otaqlı,5/11 mərtəbə,77 m²,175 000,AZN,2024-11-11,Təmirli,Müqavilə
8342,Elmlər Akademiyası m.,4 otaqlı,15/21 mərtəbə,170 m²,550 000,AZN,2024-10-11,Təmirli,Çıxarış var
8343,Gənclik m.,2 otaqlı,1/9 mərtəbə,80 m²,165 000,AZN,2024-10-29,Təmirli,Çıxarış var
8344,Həzi Aslanov m.,2 otaqlı,10/16 mərtəbə,82.4 m²,150 000,AZN,2024-11-12,Təmirsiz,Çıxarış var
8345,Hövsan q.,3 otaqlı,5/9 mərtəbə,73 m²,96 000,AZN,2024-11-22,Təmirli,Çıxarış var
8346,Zabrat q.,2 otaqlı,7/10 mərtəbə,73 m²,96 500,AZN,2024-11-21,Təmirli,Çıxarış var
8347,28 May m.,2 otaqlı,3/16 mərtəbə,54 m²,163 000,AZN,2024-11-15,Təmirli,Müqavilə
8348,Masazır q.,3 otaqlı,5/7 mərtəbə,89.4 m²,85 000,AZN,2024-11-17,Təmirsiz,Çıxarış var
8349,Nəriman Nərimanov m.,3 otaqlı,5/17 mərtəbə,120 m²,380 000,AZN,2024-11-16,Təmirli,Çıxarış var
8350,İnşaatçılar m.,2 otaqlı,21/21 mərtəbə,66 m²,112 000,AZN,2024-11-16,Təmirli,Çıxarış var
8351,İnşaatçılar m.,4 otaqlı,7/24 mərtəbə,170 m²,305 000,AZN,2024-11-17,Təmirli,Çıxarış var
8352,Həzi Aslanov m.,3 otaqlı,7/16 mərtəbə,84 m²,182 000,AZN,2024-11-11,Təmirli,Çıxarış var
8353,İnşaatçılar m.,2 otaqlı,4/11 mərtəbə,90 m²,170 000,AZN,2024-09-06,Təmirli,Çıxarış var
8354,Memar Əcəmi m.,1 otaqlı,11/17 mərtəbə,40 m²,110 000,AZN,2024-01-16,Təmirsiz,Çıxarış var
8355,Qara Qarayev m.,3 otaqlı,3/17 mərtəbə,120 m²,250 000,AZN,2024-11-17,Təmirsiz,Çıxarış var
8356,İnşaatçılar m.,2 otaqlı,13/15 mərtəbə,43.5 m²,145 000,AZN,2024-11-05,Təmirli,Müqavilə
8357,Masazır q.,2 otaqlı,3/7 mərtəbə,44 m²,68 000,AZN,2024-09-17,Təmirli,Çıxarış var
8358,Elmlər Akademiyası m.,3 otaqlı,12/17 mərtəbə,95 m²,385 000,AZN,2024-10-24,Təmirli,Çıxarış var
8359,Memar Əcəmi m.,3 otaqlı,8/12 mərtəbə,111 m²,220 000,AZN,2024-10-25,Təmirli,Müqavilə
8360,Həzi Aslanov m.,2 otaqlı,6/18 mərtəbə,66 m²,178 000,AZN,2024-11-17,Təmirli,Çıxarış var
8361,Saray q.,2 otaqlı,8/14 mərtəbə,60 m²,89 500,AZN,2024-11-05,Təmirli,Çıxarış var
8362,Həzi Aslanov m.,3 otaqlı,4/12 mərtəbə,130 m²,329 900,AZN,2024-11-13,Təmirli,Çıxarış var
8363,Həzi Aslanov m.,3 otaqlı,8/17 mərtəbə,126 m²,258 000,AZN,2024-11-08,Təmirli,Çıxarış var
8364,Həzi Aslanov m.,2 otaqlı,9/16 mərtəbə,70 m²,156 000,AZN,2024-11-07,Təmirli,Çıxarış var
8365,Neftçilər m.,3 otaqlı,5/19 mərtəbə,80 m²,210 000,AZN,2024-11-17,Təmirli,Müqavilə
8366,8 Noyabr m.,3 otaqlı,19/19 mərtəbə,105 m²,178 000,AZN,2024-11-16,Təmirli,Çıxarış var
8367,Xalqlar Dostluğu m.,3 otaqlı,4/14 mərtəbə,120 m²,298 000,AZN,2023-08-25,Təmirli,Çıxarış var
8368,Həzi Aslanov q.,2 otaqlı,16/17 mərtəbə,55 m²,139 000,AZN,2024-11-01,Təmirli,Çıxarış var
8369,8 Noyabr m.,3 otaqlı,14/18 mərtəbə,155 m²,320 000,AZN,2024-11-13,Təmirli,Çıxarış var
8370,Qara Qarayev m.,3 otaqlı,10/15 mərtəbə,127 m²,327 000,AZN,2024-01-27,Təmirli,Müqavilə
8371,Həzi Aslanov m.,2 otaqlı,2/17 mərtəbə,53 m²,158 000,AZN,2024-11-17,Təmirli,Müqavilə
8372,Həzi Aslanov m.,3 otaqlı,15/17 mərtəbə,92 m²,195 000,AZN,2024-11-19,Təmirli,Müqavilə
8373,Yeni Yasamal q.,2 otaqlı,11/14 mərtəbə,50 m²,130 000,AZN,2024-11-10,Təmirli,Çıxarış var
8374,Həzi Aslanov q.,2 otaqlı,6/19 mərtəbə,53 m²,150 000,AZN,2024-08-02,Təmirli,Çıxarış var
8375,Nizami m.,3 otaqlı,14/18 mərtəbə,100 m²,305 000,AZN,2024-11-16,Təmirli,Çıxarış var
8376,Biləcəri q.,2 otaqlı,3/15 mərtəbə,72.1 m²,109 000,AZN,2024-10-28,Təmirsiz,Müqavilə
8377,Nəriman Nərimanov m.,3 otaqlı,6/17 mərtəbə,127 m²,387 000,AZN,2024-11-16,Təmirli,Çıxarış var
8378,Suraxanı r.,2 otaqlı,5/7 mərtəbə,53 m²,85 000,AZN,2024-11-16,Təmirli,Çıxarış var
8379,Memar Əcəmi m.,4 otaqlı,13/16 mərtəbə,120 m²,220 000,AZN,2024-10-31,Təmirli,Çıxarış var
8380,İnşaatçılar m.,2 otaqlı,3/17 mərtəbə,85 m²,197 000,AZN,2024-10-31,Təmirli,Çıxarış var
8381,Nardaran q.,1 otaqlı,6/8 mərtəbə,46.1 m²,141 000,AZN,2024-11-12,Təmirsiz,Müqavilə
8382,Həzi Aslanov m.,4 otaqlı,12/16 mərtəbə,145 m²,305 000,AZN,2024-11-14,Təmirli,Çıxarış var
8383,Neftçilər m.,3 otaqlı,15/18 mərtəbə,72 m²,175 000,AZN,2024-11-06,Təmirli,Çıxarış var
8384,20 Yanvar m.,3 otaqlı,17/20 mərtəbə,135 m²,299 000,AZN,2024-10-31,Təmirli,Çıxarış var
8385,Xətai r.,2 otaqlı,20/21 mərtəbə,78 m²,135 000,AZN,2024-09-04,Təmirsiz,Çıxarış var
8386,Əhmədli m.,2 otaqlı,3/14 mərtəbə,54 m²,162 000,AZN,2024-11-16,Təmirli,Müqavilə
8387,Xətai r.,2 otaqlı,15/21 mərtəbə,60 m²,154 000,AZN,2024-11-16,Təmirli,Çıxarış var
8388,Lökbatan q.,3 otaqlı,5/5 mərtəbə,64 m²,55 600,AZN,2024-11-08,Təmirli,Müqavilə
8389,Həzi Aslanov m.,4 otaqlı,1/20 mərtəbə,155 m²,305 000,AZN,2024-11-16,Təmirli,Çıxarış var
8390,Nəsimi r.,4 otaqlı,4/7 mərtəbə,216 m²,600 000,AZN,2024-10-15,Təmirsiz,Müqavilə
8391,Nizami m.,4 otaqlı,10/12 mərtəbə,205 m²,439 000,AZN,2024-10-15,Təmirli,Çıxarış var
8392,Suraxanı q.,3 otaqlı,3/3 mərtəbə,78 m²,50 000,AZN,2024-09-13,Təmirsiz,Çıxarış var
8393,Bülbülə q.,3 otaqlı,3/3 mərtəbə,75 m²,65 000,AZN,2024-10-10,Təmirsiz,Çıxarış var
8394,Yeni Suraxanı q.,3 otaqlı,3/3 mərtəbə,80 m²,60 000,AZN,2024-10-17,Təmirsiz,Çıxarış var
8395,İnşaatçılar m.,2 otaqlı,7/19 mərtəbə,90.7 m²,231 999,AZN,2024-10-20,Təmirli,Müqavilə
8396,8 Noyabr m.,4 otaqlı,4/27 mərtəbə,178 m²,550 000,AZN,2024-07-19,Təmirli,Çıxarış var
8397,Azadlıq Prospekti m.,3 otaqlı,8/17 mərtəbə,110 m²,308 000,AZN,2024-10-25,Təmirli,Çıxarış var
8398,Sahil m.,4 otaqlı,3/5 mərtəbə,93 m²,449 000,AZN,2024-11-16,Təmirli,Çıxarış var
8399,Nəsimi r.,4 otaqlı,14/19 mərtəbə,205 m²,451 000,AZN,2024-09-01,Təmirsiz,Çıxarış var
8400,Masazır q.,3 otaqlı,7/16 mərtəbə,121 m²,167 000,AZN,2024-10-29,Təmirli,Çıxarış var
8401,Nərimanov r.,2 otaqlı,5/14 mərtəbə,103.5 m²,248 280,AZN,2023-08-31,Təmirsiz,Müqavilə
8402,Elmlər Akademiyası m.,3 otaqlı,11/18 mərtəbə,90 m²,210 000,AZN,2024-11-16,Təmirli,Çıxarış var
8403,Nərimanov r.,4 otaqlı,14/18 mərtəbə,195 m²,520 000,AZN,2024-11-21,Təmirli,Çıxarış var
8404,Şah İsmayıl Xətai m.,3 otaqlı,5/14 mərtəbə,143 m²,299 000,AZN,2024-06-23,Təmirsiz,Müqavilə
8405,Yeni Yasamal q.,2 otaqlı,1/14 mərtəbə,84 m²,164 000,AZN,2024-11-16,Təmirli,Çıxarış var
8406,Şah İsmayıl Xətai m.,4 otaqlı,3/19 mərtəbə,160 m²,395 000,AZN,2024-09-23,Təmirli,Çıxarış var
8407,Şah İsmayıl Xətai m.,4 otaqlı,14/21 mərtəbə,160 m²,350 000,AZN,2024-06-23,Təmirsiz,Müqavilə
8408,Şah İsmayıl Xətai m.,4 otaqlı,16/16 mərtəbə,180 m²,400 000,AZN,2024-02-14,Təmirli,Çıxarış var
8409,Şah İsmayıl Xətai m.,2 otaqlı,15/15 mərtəbə,70 m²,180 000,AZN,2024-10-07,Təmirsiz,Çıxarış var
8410,Şah İsmayıl Xətai m.,2 otaqlı,15/15 mərtəbə,80 m²,210 000,AZN,2024-10-07,Təmirsiz,Çıxarış var
8411,İnşaatçılar m.,2 otaqlı,10/18 mərtəbə,62 m²,180 000,AZN,2024-11-16,Təmirli,Müqavilə
8412,Nizami m.,2 otaqlı,2/16 mərtəbə,57 m²,209 888,AZN,2024-11-16,Təmirli,Çıxarış var
8413,Gənclik m.,2 otaqlı,11/16 mərtəbə,75 m²,198 000,AZN,2024-05-22,Təmirsiz,Çıxarış var
8414,Nəsimi r.,2 otaqlı,5/16 mərtəbə,86 m²,290 000,AZN,2024-11-09,Təmirli,Çıxarış var
8415,Azadlıq Prospekti m.,3 otaqlı,8/10 mərtəbə,86 m²,190 000,AZN,2024-11-16,Təmirli,Müqavilə
8416,Qara Qarayev m.,2 otaqlı,8/17 mərtəbə,70 m²,175 000,AZN,2024-11-16,Təmirli,Çıxarış var
8417,Xətai r.,4 otaqlı,12/20 mərtəbə,152 m²,335 000,AZN,2024-11-16,Təmirli,Çıxarış var
8418,Qara Qarayev m.,2 otaqlı,2/16 mərtəbə,72 m²,176 000,AZN,2024-11-05,Təmirli,Çıxarış var
8419,Yeni Günəşli q.,4 otaqlı,14/16 mərtəbə,130 m²,215 000,AZN,2024-10-22,Təmirli,Müqavilə
8420,Həzi Aslanov m.,2 otaqlı,8/11 mərtəbə,55 m²,106 000,AZN,2024-11-16,Təmirli,Çıxarış var
8421,28 May m.,3 otaqlı,6/16 mərtəbə,144 m²,316 800,AZN,2024-10-08,Təmirsiz,Müqavilə
8422,Nəriman Nərimanov m.,4 otaqlı,16/17 mərtəbə,170 m²,560 000,AZN,2024-07-18,Təmirli,Müqavilə
8423,Şah İsmayıl Xətai m.,3 otaqlı,6/16 mərtəbə,130 m²,306 000,AZN,2024-10-28,Təmirli,Çıxarış var
8424,Nəriman Nərimanov m.,3 otaqlı,3/16 mərtəbə,128 m²,350 000,AZN,2024-10-01,Təmirli,Müqavilə
8425,Memar Əcəmi m.,4 otaqlı,3/14 mərtəbə,130 m²,270 000,AZN,2024-11-08,Təmirli,Müqavilə
8426,Elmlər Akademiyası m.,3 otaqlı,14/17 mərtəbə,136 m²,408 000,AZN,2024-11-16,Təmirli,Çıxarış var
8427,Gənclik m.,3 otaqlı,6/17 mərtəbə,140 m²,480 000,AZN,2024-07-26,Təmirli,Çıxarış var
8428,Nəsimi r.,3 otaqlı,7/16 mərtəbə,95 m²,227 000,AZN,2024-09-12,Təmirsiz,Çıxarış var
8429,Nərimanov r.,2 otaqlı,6/16 mərtəbə,56 m²,173 000,AZN,2024-09-18,Təmirli,Müqavilə
8430,Nərimanov r.,3 otaqlı,8/19 mərtəbə,105 m²,300 000,AZN,2023-11-04,Təmirsiz,Müqavilə
8431,28 May m.,3 otaqlı,3/12 mərtəbə,100 m²,212 000,AZN,2024-11-14,Təmirsiz,Müqavilə
8432,Nərimanov r.,3 otaqlı,2/16 mərtəbə,111 m²,310 000,AZN,2024-10-11,Təmirli,Müqavilə
8433,Nəsimi r.,3 otaqlı,16/16 mərtəbə,100 m²,285 000,AZN,2024-10-11,Təmirli,Çıxarış var
8434,Sahil m.,5 otaqlı,14/22 mərtəbə,300 m²,5 100 000,AZN,2022-10-31,Təmirli,Çıxarış var
8435,Elmlər Akademiyası m.,2 otaqlı,10/19 mərtəbə,62 m²,180 000,AZN,2024-09-11,Təmirli,Müqavilə
8436,Şah İsmayıl Xətai m.,3 otaqlı,16/17 mərtəbə,115 m²,330 000,AZN,2024-10-27,Təmirli,Çıxarış var
8437,Şah İsmayıl Xətai m.,3 otaqlı,16/16 mərtəbə,150 m²,355 000,AZN,2024-11-16,Təmirli,Çıxarış var
8438,Şah İsmayıl Xətai m.,2 otaqlı,3/16 mərtəbə,65 m²,175 000,AZN,2024-10-27,Təmirli,Çıxarış var
8439,Memar Əcəmi m.,3 otaqlı,4/14 mərtəbə,129 m²,186 000,AZN,2024-04-03,Təmirli,Müqavilə
8440,Masazır q.,2 otaqlı,2/11 mərtəbə,56 m²,68 999,AZN,2024-08-18,Təmirli,Çıxarış var
8441,Mehdiabad q.,2 otaqlı,3/4 mərtəbə,65 m²,71 000,AZN,2024-11-16,Təmirli,Çıxarış var
8442,Memar Əcəmi m.,3 otaqlı,11/16 mərtəbə,119 m²,215 000,AZN,2024-11-16,Təmirli,Çıxarış var
8443,Bakıxanov q.,3 otaqlı,14/20 mərtəbə,82 m²,138 000,AZN,2024-11-16,Təmirli,Çıxarış var
8444,Nizami m.,2 otaqlı,2/17 mərtəbə,57 m²,209 999,AZN,2024-11-16,Təmirli,Çıxarış var
8445,Nəsimi r.,3 otaqlı,10/18 mərtəbə,180 m²,455 000,AZN,2024-11-16,Təmirli,Çıxarış var
8446,Nəriman Nərimanov m.,3 otaqlı,11/24 mərtəbə,130 m²,269 000,AZN,2024-11-15,Təmirli,Çıxarış var
8447,28 May m.,2 otaqlı,11/19 mərtəbə,85 m²,234 000,AZN,2024-10-14,Təmirli,Müqavilə
8448,Badamdar q.,4 otaqlı,18/19 mərtəbə,111 m²,255 000,AZN,2024-10-26,Təmirli,Müqavilə
8449,Nərimanov r.,3 otaqlı,12/16 mərtəbə,95 m²,262 000,AZN,2024-11-16,Təmirli,Çıxarış var
8450,Şah İsmayıl Xətai m.,4 otaqlı,13/24 mərtəbə,196 m²,349 000,AZN,2024-10-11,Təmirli,Çıxarış var
8451,Nizami m.,3 otaqlı,9/22 mərtəbə,175 m²,430 000,AZN,2024-10-13,Təmirli,Çıxarış var
8452,Bayıl q.,2 otaqlı,8/12 mərtəbə,115 m²,320 000,AZN,2024-10-11,Təmirli,Müqavilə
8453,Masazır q.,2 otaqlı,6/6 mərtəbə,54 m²,59 000,AZN,2024-11-16,Təmirli,Çıxarış var
8454,Badamdar q.,3 otaqlı,8/17 mərtəbə,100 m²,220 000,AZN,2024-11-11,Təmirli,Müqavilə
8455,Qara Qarayev m.,3 otaqlı,8/16 mərtəbə,115 m²,199 000,AZN,2024-11-16,Təmirli,Çıxarış var
8456,Elmlər Akademiyası m.,3 otaqlı,12/16 mərtəbə,144 m²,293 000,AZN,2024-11-19,Təmirli,Çıxarış var
8457,28 May m.,4 otaqlı,5/16 mərtəbə,231.2 m²,577 900,AZN,2024-05-31,Təmirsiz,Müqavilə
8458,Nəsimi r.,3 otaqlı,6/16 mərtəbə,154 m²,420 000,AZN,2024-11-19,Təmirli,Müqavilə
8459,Neftçilər m.,3 otaqlı,8/18 mərtəbə,119 m²,274 000,AZN,2024-10-19,Təmirli,Müqavilə
8460,İnşaatçılar m.,5 otaqlı,15/17 mərtəbə,202 m²,327 000,AZN,2024-07-09,Təmirli,Çıxarış var
8461,Xətai r.,2 otaqlı,13/16 mərtəbə,65 m²,143 000,AZN,2024-09-30,Təmirli,Çıxarış var
8462,Bayıl q.,3 otaqlı,2/18 mərtəbə,90 m²,179 000,AZN,2024-10-07,Təmirli,Çıxarış var
8463,Nərimanov r.,3 otaqlı,4/10 mərtəbə,120 m²,240 000,AZN,2024-11-07,Təmirsiz,Müqavilə
8464,Memar Əcəmi m.,3 otaqlı,9/14 mərtəbə,65 m²,165 000,AZN,2024-05-15,Təmirsiz,Müqavilə
8465,Biləcəri q.,2 otaqlı,7/16 mərtəbə,73 m²,158 000,AZN,2024-06-14,Təmirli,Müqavilə
8466,Memar Əcəmi m.,3 otaqlı,4/5 mərtəbə,58 m²,169 000,AZN,2024-10-01,Təmirli,Müqavilə
8467,Nəsimi r.,4 otaqlı,7/20 mərtəbə,177 m²,385 000,AZN,2024-10-20,Təmirli,Çıxarış var
8468,8 Noyabr m.,2 otaqlı,13/27 mərtəbə,107 m²,325 000,AZN,2024-11-16,Təmirli,Çıxarış var
8469,Nizami m.,4 otaqlı,5/15 mərtəbə,175 m²,380 000,AZN,2023-11-10,Təmirli,Çıxarış var
8470,Həzi Aslanov m.,2 otaqlı,13/15 mərtəbə,60 m²,135 000,AZN,2024-11-05,Təmirli,Müqavilə
8471,8 Noyabr m.,2 otaqlı,16/18 mərtəbə,90 m²,195 000,AZN,2024-11-04,Təmirli,Çıxarış var
8472,İnşaatçılar m.,4 otaqlı,18/18 mərtəbə,100 m²,145 000,AZN,2024-10-12,Təmirli,Çıxarış var
8473,Memar Əcəmi m.,4 otaqlı,11/13 mərtəbə,130 m²,285 000,AZN,2024-03-11,Təmirli,Çıxarış var
8474,Masazır q.,2 otaqlı,5/6 mərtəbə,60 m²,75 000,AZN,2024-11-07,Təmirli,Çıxarış var
8475,Neftçilər m.,3 otaqlı,17/17 mərtəbə,141 m²,197 000,AZN,2024-05-18,Təmirli,Çıxarış var
8476,Nərimanov r.,4 otaqlı,8/16 mərtəbə,240 m²,380 000,AZN,2024-11-06,Təmirsiz,Çıxarış var
8477,Yeni Yasamal q.,3 otaqlı,14/18 mərtəbə,110 m²,224 000,AZN,2024-06-06,Təmirli,Çıxarış var
8478,Nərimanov r.,3 otaqlı,7/16 mərtəbə,140 m²,300 000,AZN,2024-11-01,Təmirsiz,Çıxarış var
8479,İnşaatçılar m.,3 otaqlı,11/18 mərtəbə,102 m²,163 000,AZN,2024-11-16,Təmirli,Müqavilə
8480,Şah İsmayıl Xətai m.,4 otaqlı,12/13 mərtəbə,185 m²,515 000,AZN,2024-08-22,Təmirli,Çıxarış var
8481,Yeni Yasamal q.,3 otaqlı,8/16 mərtəbə,120 m²,216 000,AZN,2024-04-27,Təmirli,Çıxarış var
8482,Sabunçu q.,2 otaqlı,6/7 mərtəbə,66 m²,117 000,AZN,2024-11-02,Təmirli,Müqavilə
8483,Həzi Aslanov m.,3 otaqlı,12/18 mərtəbə,96 m²,160 000,AZN,2024-11-16,Təmirli,Çıxarış var
8484,Elmlər Akademiyası m.,5 otaqlı,14/14 mərtəbə,280 m²,1 180 000,AZN,2024-11-05,Təmirsiz,Çıxarış var
8485,Badamdar q.,3 otaqlı,14/18 mərtəbə,143 m²,310 000,AZN,2024-11-19,Təmirli,Çıxarış var
8486,Nərimanov r.,3 otaqlı,4/16 mərtəbə,165 m²,412 000,AZN,2024-10-20,Təmirli,Çıxarış var
8487,Həzi Aslanov q.,2 otaqlı,6/19 mərtəbə,53 m²,150 000,AZN,2024-08-02,Təmirli,Çıxarış var
8488,İnşaatçılar m.,2 otaqlı,10/17 mərtəbə,60 m²,145 000,AZN,2024-10-17,Təmirli,Çıxarış var
8489,8 Noyabr m.,3 otaqlı,27/27 mərtəbə,148 m²,362 000,AZN,2024-11-16,Təmirli,Çıxarış var
8490,İnşaatçılar m.,3 otaqlı,4/5 mərtəbə,66 m²,165 000,AZN,2024-10-16,Təmirli,Çıxarış var
8491,Azadlıq Prospekti m.,2 otaqlı,8/17 mərtəbə,80 m²,168 000,AZN,2024-11-16,Təmirsiz,Çıxarış var
8492,Şah İsmayıl Xətai m.,2 otaqlı,13/16 mərtəbə,98 m²,243 000,AZN,2024-11-16,Təmirsiz,Müqavilə
8493,Memar Əcəmi m.,3 otaqlı,8/13 mərtəbə,160 m²,297 000,AZN,2024-11-16,Təmirli,Çıxarış var
8494,Gənclik m.,2 otaqlı,6/16 mərtəbə,60 m²,195 001,AZN,2024-11-16,Təmirli,Çıxarış var
8495,8 Noyabr m.,2 otaqlı,11/27 mərtəbə,98 m²,267 000,AZN,2024-11-16,Təmirli,Çıxarış var
8496,Şah İsmayıl Xətai m.,3 otaqlı,3/19 mərtəbə,150 m²,310 000,AZN,2024-10-16,Təmirli,Çıxarış var
8497,Şah İsmayıl Xətai m.,3 otaqlı,9/18 mərtəbə,95 m²,310 000,AZN,2024-11-16,Təmirli,Müqavilə
8498,Şah İsmayıl Xətai m.,2 otaqlı,16/18 mərtəbə,80 m²,260 000,AZN,2024-10-16,Təmirli,Çıxarış var
8499,8 Noyabr m.,2 otaqlı,5/16 mərtəbə,70 m²,218 000,AZN,2024-11-16,Təmirli,Çıxarış var
8500,Nəriman Nərimanov m.,2 otaqlı,8/18 mərtəbə,58 m²,205 000,AZN,2023-08-09,Təmirli,Çıxarış var
8501,Şah İsmayıl Xətai m.,3 otaqlı,6/13 mərtəbə,145 m²,383 000,AZN,2024-10-25,Təmirli,Çıxarış var
8502,Masazır q.,3 otaqlı,3/5 mərtəbə,110 m²,93 000,AZN,2024-10-17,Təmirli,Çıxarış var
8503,8 Noyabr m.,3 otaqlı,27/27 mərtəbə,148 m²,368 000,AZN,2024-11-16,Təmirli,Çıxarış var
8504,Nəriman Nərimanov m.,5 otaqlı,8/15 mərtəbə,270 m²,620 000,AZN,2024-09-17,Təmirli,Çıxarış var
