,Location,Number of rooms,Floor number,Area of apartment,Price,Currency,Date,Condition,Document status
48,Nəsimi r.,2 otaqlı,5/18 mərtəbə,88 m²,290 000,AZN,2024-11-10,Təmirli,Çıxarış var
49,Gənclik m.,4 otaqlı,11/13 mərtəbə,295 m²,849 900,AZN,2023-09-18,Təmirli,Çıxarış var
50,Həzi Aslanov m.,3 otaqlı,9/16 mərtəbə,133 m²,260 000,AZN,2024-09-11,Təmirli,Çıxarış var
51,Həzi Aslanov q.,3 otaqlı,5/16 mərtəbə,100 m²,200 000,AZN,2024-10-01,Təmirli,Müqavilə
52,Əhmədli m.,2 otaqlı,4/7 mərtəbə,52.3 m²,115 000,AZN,2024-11-15,Təmirli,Müqavilə
53,Yeni Günəşli q.,2 otaqlı,2/9 mərtəbə,60 m²,110 000,AZN,2024-11-19,Təmirli,Çıxarış var
54,Nəsimi r.,4 otaqlı,11/18 mərtəbə,205 m²,720 400,AZN,2024-11-08,Təmirli,Çıxarış var
55,Abşeron r.,3 otaqlı,4/8 mərtəbə,58 m²,105 000,AZN,2024-11-23,Təmirli,Çıxarış var
56,Nizami m.,4 otaqlı,8/15 mərtəbə,190 m²,570 000,AZN,2024-11-14,Təmirsiz,Müqavilə
57,Yeni Yasamal q.,2 otaqlı,15/16 mərtəbə,100.7 m²,133 000,AZN,2024-10-04,Təmirsiz,Müqavilə
58,Ağ şəhər q.,3 otaqlı,16/21 mərtəbə,120 m²,750 000,AZN,2024-10-17,Təmirli,Müqavilə
59,İnşaatçılar m.,2 otaqlı,2/18 mərtəbə,58 m²,119 000,AZN,2024-11-20,Təmirli,Müqavilə
60,Nizami m.,4 otaqlı,5/10 mərtəbə,200 m²,495 000,AZN,2023-05-07,Təmirli,Çıxarış var
61,Masazır q.,2 otaqlı,5/6 mərtəbə,42 m²,32 000,AZN,2024-11-22,Təmirsiz,Müqavilə
62,Nəsimi r.,4 otaqlı,17/17 mərtəbə,194.5 m²,622 400,AZN,2023-10-03,Təmirsiz,Çıxarış var
63,Nəsimi r.,2 otaqlı,17/17 mərtəbə,97.6 m²,312 320,AZN,2023-10-03,Təmirsiz,Çıxarış var
64,Nəsimi r.,4 otaqlı,17/17 mərtəbə,148.9 m²,476 480,AZN,2023-10-03,Təmirsiz,Çıxarış var
65,Nəsimi r.,4 otaqlı,17/17 mərtəbə,194.5 m²,622 400,AZN,2023-10-03,Təmirsiz,Çıxarış var
66,Nəsimi r.,2 otaqlı,17/17 mərtəbə,93.6 m²,299 520,AZN,2023-10-03,Təmirsiz,Çıxarış var
67,Nəsimi r.,3 otaqlı,17/17 mərtəbə,124.5 m²,398 400,AZN,2023-10-03,Təmirsiz,Çıxarış var
68,Yeni Günəşli q.,2 otaqlı,2/3 mərtəbə,59.4 m²,96 500,AZN,2024-09-08,Təmirli,Müqavilə
69,28 May m.,1 otaqlı,13/16 mərtəbə,54.8 m²,98 000,AZN,2024-10-09,Təmirsiz,Müqavilə
70,Hövsan q.,3 otaqlı,2/9 mərtəbə,73 m²,60 000,AZN,2024-11-22,Təmirli,Çıxarış var
71,Şah İsmayıl Xətai m.,2 otaqlı,5/5 mərtəbə,50 m²,150 000,AZN,2024-11-12,Təmirli,Çıxarış var
72,Biləcəri q.,2 otaqlı,2/5 mərtəbə,64 m²,83 000,AZN,2024-11-22,Təmirli,Müqavilə
73,Avtovağzal m.,3 otaqlı,6/16 mərtəbə,112.4 m²,167 000,AZN,2024-04-12,Təmirsiz,Müqavilə
74,Badamdar q.,3 otaqlı,10/18 mərtəbə,109 m²,289 000,AZN,2024-07-31,Təmirli,Müqavilə
75,Neftçilər m.,3 otaqlı,8/18 mərtəbə,119 m²,274 000,AZN,2024-10-19,Təmirli,Müqavilə
76,İnşaatçılar m.,3 otaqlı,11/11 mərtəbə,140 m²,150 000,AZN,2024-10-24,Təmirli,Müqavilə
77,Nərimanov r.,3 otaqlı,8/16 mərtəbə,148 m²,295 000,AZN,2024-04-10,Təmirli,Çıxarış var
78,Neftçilər m.,2 otaqlı,11/14 mərtəbə,63 m²,152 000,AZN,2024-11-07,Təmirli,Müqavilə
79,Elmlər Akademiyası m.,3 otaqlı,14/19 mərtəbə,132 m²,295 000,AZN,2024-06-15,Təmirli,Çıxarış var
80,Qara Qarayev m.,4 otaqlı,13/17 mərtəbə,181 m²,290 000,AZN,2024-11-20,Təmirsiz,Müqavilə
81,Memar Əcəmi m.,2 otaqlı,12/17 mərtəbə,60 m²,144 000,AZN,2024-10-29,Təmirli,Çıxarış var
82,Dərnəgül m.,2 otaqlı,6/11 mərtəbə,50 m²,141 000,AZN,2024-11-16,Təmirli,Çıxarış var
83,Xətai r.,4 otaqlı,10/16 mərtəbə,242 m²,595 000,AZN,2022-10-10,Təmirli,Çıxarış var
84,Hövsan q.,4 otaqlı,5/9 mərtəbə,115 m²,130 000,AZN,2024-11-20,Təmirli,Çıxarış var
85,Koroğlu m.,2 otaqlı,14/16 mərtəbə,117.2 m²,357 460,AZN,2024-10-17,Təmirli,Müqavilə
86,Həzi Aslanov m.,3 otaqlı,11/16 mərtəbə,82 m²,195 000,AZN,2024-10-07,Təmirli,Çıxarış var
87,Memar Əcəmi m.,2 otaqlı,12/16 mərtəbə,58 m²,157 000,AZN,2024-09-20,Təmirli,Müqavilə
88,İnşaatçılar m.,2 otaqlı,7/17 mərtəbə,90 m²,246 000,AZN,2024-11-07,Təmirli,Müqavilə
89,Elmlər Akademiyası m.,4 otaqlı,2/14 mərtəbə,140 m²,425 000,AZN,2024-11-17,Təmirli,Çıxarış var
90,İnşaatçılar m.,2 otaqlı,9/18 mərtəbə,70 m²,229 000,AZN,2024-10-14,Təmirsiz,Çıxarış var
91,Memar Əcəmi m.,2 otaqlı,5/13 mərtəbə,63 m²,155 000,AZN,2024-11-04,Təmirli,Çıxarış var
92,Yasamal r.,2 otaqlı,3/5 mərtəbə,55 m²,136 000,AZN,2024-08-22,Təmirli,Çıxarış var
93,Gənclik m.,2 otaqlı,18/21 mərtəbə,60 m²,185 000,AZN,2024-11-18,Təmirli,Müqavilə
94,20 Yanvar m.,3 otaqlı,3/8 mərtəbə,97.1 m²,199 900,AZN,2024-11-12,Təmirsiz,Müqavilə
95,20 Yanvar m.,2 otaqlı,5/11 mərtəbə,70 m²,181 000,AZN,2024-11-22,Təmirli,Müqavilə
96,Masazır q.,2 otaqlı,5/6 mərtəbə,59 m²,68 000,AZN,2024-10-06,Təmirli,Çıxarış var
97,Nəsimi r.,4 otaqlı,7/16 mərtəbə,270 m²,450 000,AZN,2023-12-16,Təmirli,Çıxarış var
98,Xətai r.,3 otaqlı,3/16 mərtəbə,157 m²,310 000,AZN,2024-09-16,Təmirli,Çıxarış var
99,Nərimanov r.,3 otaqlı,15/17 mərtəbə,160 m²,355 000,AZN,2022-11-13,Təmirli,Çıxarış var
100,Masazır q.,2 otaqlı,3/6 mərtəbə,54 m²,70 000,AZN,2024-11-04,Təmirli,Müqavilə
101,8 Noyabr m.,4 otaqlı,11/16 mərtəbə,180 m²,355 000,AZN,2022-09-22,Təmirli,Çıxarış var
102,Nərimanov r.,4 otaqlı,8/16 mərtəbə,178 m²,350 000,AZN,2023-03-25,Təmirli,Çıxarış var
103,Masazır q.,2 otaqlı,3/6 mərtəbə,54 m²,70 000,AZN,2024-11-03,Təmirli,Müqavilə
104,Nəriman Nərimanov m.,4 otaqlı,15/16 mərtəbə,182 m²,310 000,AZN,2024-09-16,Təmirli,Çıxarış var
105,Yasamal r.,2 otaqlı,4/9 mərtəbə,50 m²,140 000,AZN,2024-11-22,Təmirli,Çıxarış var
106,Hövsan q.,3 otaqlı,5/9 mərtəbə,73 m²,96 000,AZN,2024-11-22,Təmirli,Çıxarış var
107,Hövsan q.,3 otaqlı,5/9 mərtəbə,73 m²,96 000,AZN,2024-11-22,Təmirli,Çıxarış var
